"CATALOGUE ID",NAME,IMAGE,"VARIATION ID",SKU,VARIATION,"AVAILABLE QUANTITY","SHELF QUANTITY",SOLD,"EAN NO","REGULAR PRICE","SALE PRICE","COST PRICE","TOTAL RECEIVE","COLOUR CODE","PRODUCT CODE"
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Orange.jpg,100886,T-JUST-POK_3AG_XS,"Colour->Orange,Size->XS",1,1,0,8053837258412,39.99,17.99,8,1,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Green.jpg,100887,T-JUST-POK_5HP_M,"Colour->Green,Size->M",4,4,0,8053837048747,39.99,17.99,8,4,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Green.jpg,100888,T-JUST-POK_5HP_L,"Colour->Green,Size->L",3,3,0,8053837048730,39.99,17.99,8,3,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Burgundy.jpg,100889,T-JUST-POK_44G_XS,"Colour->Burgundy,Size->XS",1,1,0,8053837432614,39.99,17.99,8,1,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Burgundy.jpg,100890,T-JUST-POK_44G_S,"Colour->Burgundy,Size->S",5,5,0,8053837432591,39.99,17.99,8,5,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Burgundy.jpg,100891,T-JUST-POK_44G_M,"Colour->Burgundy,Size->M",4,4,0,8053837432584,39.99,17.99,8,4,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-Burgundy.jpg,100892,T-JUST-POK_44G_L,"Colour->Burgundy,Size->L",4,4,0,8053837432577,39.99,17.99,8,4,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-White.jpg,100893,T-JUST-POK_100_XS,"Colour->White,Size->XS",1,1,0,8053837048709,39.99,17.99,8,1,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-White.jpg,100894,T-JUST-POK_100_S,"Colour->White,Size->S",21,21,1,8053837048686,39.99,17.99,8,22,,
95743,"DIESEL T JUST POCKET Mens T-Shirt Short Sleeve Crew Neck Casual Loose Fit",https://woowms.com/admin/assets/images/product_variation/1632985673-White.jpg,100895,T-JUST-POK_100_M,"Colour->White,Size->M",16,16,1,8053837048679,39.99,17.99,8,17,,
